line	reasons
281/ 2/ 44 đường bình lợi - hồ chí minh	1:gach_noi_giua_cap
Xã Sài Sơn Quốc Oai, Hà Nội	4:duoi_32_ky_tu
đường phạm hồng thái, vũng tàu	4:duoi_32_ky_tu
362/ 9 đường trần phú, quận 5	4:duoi_32_ky_tu
450/ 41 Đoàn Văn Bơ	4:duoi_32_ky_tu
Dự án Dự án Thăng Long Number One - Nam Từ Liêm - Hà Nội	1:gach_noi_giua_cap | 2:trung_keyword[dự án dự án]
lê văn lương cầu giấy	4:duoi_32_ky_tu
phú thạnh - lê lăng - tân phú hồ chí minh	1:gach_noi_giua_cap
lương văn thắng - ninh bình	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
17 - 19 - 21 nguyễn văn trỗi f. 12 - q. phú nhuận	1:gach_noi_giua_cap
đường hoàng co thach - phường hoà hải - ngũ hành sơn - đà nẵng	0:thieu_dau_sai_chinh_ta[thach,thach phường] | 1:gach_noi_giua_cap
ngõ 168 kim giang hoàng mai	4:duoi_32_ky_tu
Đường Ba Đình Quận 8 - Hồ Chí Minh	1:gach_noi_giua_cap
Vĩnh Điện	4:duoi_32_ky_tu
đường thạnh xuân 39	4:duoi_32_ky_tu
hùng vương quy nhơn bình định	4:duoi_32_ky_tu
hattoco hà đông hà nội	4:duoi_32_ky_tu
Đường Đầm Trấu - Hai Bà Trưng - Hà Nội	1:gach_noi_giua_cap
k19 - đà nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Nguyễn Văn Cừ - Liên Chiểu	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
võ thị sáu ninh kiều - cần thơ	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
ấp 5, tân phú, đồng nai	4:duoi_32_ky_tu
3e/ 2 phổ quang tân bình	4:duoi_32_ky_tu
115 phan huy thực p. tân kiểng	4:duoi_32_ky_tu
đường 15 thuận an	4:duoi_32_ky_tu
đường trần hưng đạo quận 5	4:duoi_32_ky_tu
728/ 1 - hồng bàng quận 11 hồ chí minh	1:gach_noi_giua_cap
long phước - long thành - đồng nai	1:gach_noi_giua_cap
đường 20, thuận an	4:duoi_32_ky_tu
đường giải phóng - phường tương mai - hoàng mai - hà nội	1:gach_noi_giua_cap
xã long phước long thành	4:duoi_32_ky_tu
Đường Thăng Long Cẩm Lệ Đà Nẵng	4:duoi_32_ky_tu
Dự án Chơn Thành Golden Land, Chơn Thành, Bình Phước	2:trung_keyword[chơn thành]
đường 34 quận 6, hồ chí minh	4:duoi_32_ky_tu
165A Nguyễn Sinh Sắc, Vinh	4:duoi_32_ky_tu
đường phú điền - bắc từ liêm hà nội	1:gach_noi_giua_cap
Số 6, Linh Xuân, Thủ Đức	4:duoi_32_ky_tu
mai hắc đế, nghệ an	4:duoi_32_ky_tu
đường lê lai quận 1	4:duoi_32_ky_tu
nguyễn du trảng bàng	4:duoi_32_ky_tu
xã linh sơn, thái nguyên	4:duoi_32_ky_tu
73a - đường huỳnh tịnh của, quận 3, hồ chí minh	1:gach_noi_giua_cap
văn phong va can ho cao cap licogi 13 tower, thanh xuân, hà nội	0:thieu_dau_sai_chinh_ta[can ho,cap]
quang trung gò vấp. - hồ chí minh	1:gach_noi_giua_cap
thới lai cần thơ	4:duoi_32_ky_tu
kỳ đồng thái bình	4:duoi_32_ky_tu
đình vĩ	4:duoi_32_ky_tu
lê duẩn hải châu đà nẵng	4:duoi_32_ky_tu
Hoa Hồng Phú Nhuan Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[phú nhuan,nhuan hồ] | 4:duoi_32_ky_tu
đường hữu hung, hà nội	0:thieu_dau_sai_chinh_ta[hung hà] | 4:duoi_32_ky_tu
bùi ngọc đường - hai bà trưng - hà nội	1:gach_noi_giua_cap
đường đinh tiên hoàng - xã an xuyên - cà mau	1:gach_noi_giua_cap
đường chợ hàng hải phòng	4:duoi_32_ky_tu
phường hàng buồm	4:duoi_32_ky_tu
kim liên, xã dân 2, đống đa	4:duoi_32_ky_tu
phố 24 - quận 6 - hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường xuân thới thượng	4:duoi_32_ky_tu
lê liễu	4:duoi_32_ky_tu
đường tuy lý vuong quận 8 - hồ chí minh	0:thieu_dau_sai_chinh_ta[vuong] | 1:gach_noi_giua_cap
ấp 4b - đường võ văn bích - xã bình mỹcủ hồ chí minh	1:gach_noi_giua_cap
cao sơn 7 - ngũ hành sơn	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường bùi ngọc thu - hiệp an	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
tân hương phố yên thái nguyễn	4:duoi_32_ky_tu
31/ 39 - ung văn khiêm - phường 25 - q. bình thạnh - hồ chí minh	1:gach_noi_giua_cap
đường thới an.  - quận 12 hồ chí minh	1:gach_noi_giua_cap
dự án khu đô thị mới pháp vân - tứ hiệp - hoàng mai hà nội	1:gach_noi_giua_cap
đường giang văn minh, quận 2	4:duoi_32_ky_tu
23 núi thành, hồ chí minh	4:duoi_32_ky_tu
Trần Thủ Độ - Tân Phú - Hồ Chí Minh	1:gach_noi_giua_cap
d11 bến cát	4:duoi_32_ky_tu
Nhà ở Vạn Xuân Bắc Sài Gòn - Quận 12 - Hồ Chí Minh	1:gach_noi_giua_cap
đường an dương tây hồ hà nội	4:duoi_32_ky_tu
dự án thanh an tower - đường lê văn lương - phường nhân chính - thanh xuân	1:gach_noi_giua_cap
đường tỉnh lộ 558 - nghệ an	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 35 - hiệp bình chánh - thủ đức - hồ chí minh	1:gach_noi_giua_cap
Thường Tín - Hà Nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
tân phú - quận sơn trà - đà nẵng	1:gach_noi_giua_cap
1186 - 1188 Võ Văn Kiệt - Quận 5	1:gach_noi_giua_cap
Dự án The Pride - Đường Lê Văn Lương - La Khê - Hà Đông - Hà Nội	1:gach_noi_giua_cap
Đường 11 Thủ Đức	4:duoi_32_ky_tu
đại thiên lộc, bình dương	4:duoi_32_ky_tu
đường số 11, quận 4 hồ chí minh	4:duoi_32_ky_tu
võ thị sáu - ninh kiều	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án gold star tower đường hùng vương - thủ dầu một	1:gach_noi_giua_cap
xã đinh trang hoà, di linh	4:duoi_32_ky_tu
nguyễn văn lượng, gò vấp	4:duoi_32_ky_tu
Khu đỗ thị quốc te Đa Phước - Nguyễn Tất Thành - Hải Châu - Đà Nẵng	1:gach_noi_giua_cap
an dương, tây hồ	4:duoi_32_ky_tu
phạm văn đồng - hòa thành - tây ninh	1:gach_noi_giua_cap
Đoàn Hồng Phước - Tân Phú - Hồ Chí Minh	1:gach_noi_giua_cap
đường lê duẩn thị trấn long thành long thành đồng nai	2:trung_keyword[long thành]
Hàm Phú Hàm Thuận Bắc - Bình Thuận	1:gach_noi_giua_cap
thôn hà đông điện bàn qủang nam	4:duoi_32_ky_tu
đường nguyễn danh doi	4:duoi_32_ky_tu
khương đình, thanh xuân, hà nội	4:duoi_32_ky_tu
trường chính kiến an	4:duoi_32_ky_tu
cầu bính - thủy nguyên hải phòng	1:gach_noi_giua_cap
Đường Số 23 Thủ Đức - Hồ Chí Minh	1:gach_noi_giua_cap
bạch đằng - lương yên	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phường xuân tảo	4:duoi_32_ky_tu
phố 45 nông cống thanh hóa	4:duoi_32_ky_tu
phú lộc 4	4:duoi_32_ky_tu
Đường 6 - Thủ Dầu Một	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
giang điền - đồng nai	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đặng thái thân - phan chu trinh - hoàn kiếm - hà nội	1:gach_noi_giua_cap
đường đt 741 bến cát	4:duoi_32_ky_tu
Xã Tân Quý Tây, Bình Chánh	4:duoi_32_ky_tu
thôn chiền hà nội	4:duoi_32_ky_tu
Bình Hưng Hòa B, Đường Hương lộ	4:duoi_32_ky_tu
quận 12	4:duoi_32_ky_tu
1436 trinh quang nghi f7	3:keyword_la_toan_so | 4:duoi_32_ky_tu
vi ba phường 4 bà rịa vũng tàu	4:duoi_32_ky_tu
phan văn đối hồ chí minh	4:duoi_32_ky_tu
376 đường võ văn tần quận 3	4:duoi_32_ky_tu
phạm ngọc thạch - đống đa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường nguyễn quý tân - hải dương	1:gach_noi_giua_cap
chợ gạo hoàn kiếm - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
ĐT 743 Dĩ An Bình Dương	4:duoi_32_ky_tu
phường 7 - lý chính thắng quận 3	1:gach_noi_giua_cap
302 cô bắc quận 1	4:duoi_32_ky_tu
đường 2/ 9 vĩnh long	4:duoi_32_ky_tu
Đường 3 - Gò Vấp	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
21/ 6 tân mỹ quận 7 hồ chí minh	4:duoi_32_ky_tu
đường an trung 1	4:duoi_32_ky_tu
Đường Nguyễn Lan - Thanh Xuân Hà Nội	1:gach_noi_giua_cap
dự án cay mai - tân thạnh phường 16 quận 11 - hồ chí minh	1:gach_noi_giua_cap
trương định - phường 6 - quận 3 hồ chí minh	1:gach_noi_giua_cap
trần mai ninh - phường 11 - tân bình hồ chí minh	1:gach_noi_giua_cap
thống nhất, thường tín, hà nội	4:duoi_32_ky_tu
341 cao đạt	4:duoi_32_ky_tu
Sn 290 Đường Lê Hoan - Thanh Hóa	1:gach_noi_giua_cap
Đường Trần Hưng Đạo, Quận 9	4:duoi_32_ky_tu
đường 9 - linh đông - thủ đức	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường cầu niệm lê chân	4:duoi_32_ky_tu
phố cầu dong, phường lộc vượng, nam định	0:thieu_dau_sai_chinh_ta[dong phường]
Tây Nam Đại học Thương Mại Đường Lê Đức Thọ - Cầu Giấy Hà Nội	1:gach_noi_giua_cap
quang trung phú xuyên	4:duoi_32_ky_tu
anh sơn nghệ an	4:duoi_32_ky_tu
78 dang văn bi	4:duoi_32_ky_tu
Phường Mỹ Đình 1 Nam Từ Liêm	4:duoi_32_ky_tu
dự án diamond flower tower đường lê văn lương - thanh xuân	1:gach_noi_giua_cap
null Quận 1 Hồ Chí Minh	4:duoi_32_ky_tu
nam cao hồ chí minh	4:duoi_32_ky_tu
Dự án Lan Phường MHBR Tower 104 Ho Văn Tự Thủ Đức	0:thieu_dau_sai_chinh_ta[tower ho]
nguyễn văn bua xã xuân thới sơn hóc môn - hồ chí minh	0:thieu_dau_sai_chinh_ta[văn bua] | 1:gach_noi_giua_cap
hoàng vân hiệp hòa bắc giang	4:duoi_32_ky_tu
đường trần hưng đạo - quận 9 hồ chí minh	1:gach_noi_giua_cap
đường thuỷ sơn 5	4:duoi_32_ky_tu
nguyễn thiện thuật, kontum	4:duoi_32_ky_tu
đường trần quang diệu quảng nam	4:duoi_32_ky_tu
võ công ton tân phú	4:duoi_32_ky_tu
phường thanh lộc đán, đà nẵng	4:duoi_32_ky_tu
đường 6 - thủ đức hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
nhà số 17 - đường 54 - quận 2 - hồ chí minh	1:gach_noi_giua_cap
nhà 80a - ngõ 76 - tổ 12 mậu lương kiến hưng - hà đông - hà nội	1:gach_noi_giua_cap
hòn đất - kiến giang	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
15/ 2 - phan đăng lưu - thủ dầu một	1:gach_noi_giua_cap
phố mã mây, hoàn kiếm, hà nội	4:duoi_32_ky_tu
Dự án Thành phố Giao Lưu - Bắc Từ Liêm - Hà Nội	1:gach_noi_giua_cap
216 Lê Văn Thọ	4:duoi_32_ky_tu
165a đường nguyễn sinh sac - vinh	0:thieu_dau_sai_chinh_ta[sac] | 1:gach_noi_giua_cap
Pháo Đài Láng	4:duoi_32_ky_tu
đường lê văn lương - nhơn đức - nhà bè	1:gach_noi_giua_cap
phước đông - gò dầu	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường cách mạng tháng tám - quận 10	1:gach_noi_giua_cap
Xã Mỹ Hạnh Bắc - Đường 9 - Đức Hòa	1:gach_noi_giua_cap
đường hiệp thành 6 - quận 12 - hồ chí minh	1:gach_noi_giua_cap
lê thanh nghị - phường	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Phố Trạm Hà Nội	4:duoi_32_ky_tu
Ung Văn Khiêm - Cái Khế - Cần Thơ	1:gach_noi_giua_cap
đường 319, đồng nai	4:duoi_32_ky_tu
07/ 74 lý tự trọng, tuy hoà	4:duoi_32_ky_tu
Ân Thị Hưng Yên	4:duoi_32_ky_tu
tổ hieu - cầu giấy - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
lê bình cái răng cần thơ	4:duoi_32_ky_tu
trung lương 5 hòa xuân, cẩm lệ	4:duoi_32_ky_tu
xã hòa lạc an giang	4:duoi_32_ky_tu
Hà Huy Giáp, Cẩm Lệ, Đà Nẵng	4:duoi_32_ky_tu
125 - 128, mê linh, vĩnh yên	4:duoi_32_ky_tu
Hà Trì - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường 4 quận 2, hồ chí minh	4:duoi_32_ky_tu
kim liên, xã dân 2, hà nội	4:duoi_32_ky_tu
đường hiệp thành 37, quận 12	4:duoi_32_ky_tu
phường khai quang - nguyễn tất thành - vĩnh phúc	1:gach_noi_giua_cap
phường 3 tân an, long an	4:duoi_32_ky_tu
36 Quận 4 hồ chí minh	4:duoi_32_ky_tu
the vesta	3:keyword_la_toan_so | 4:duoi_32_ky_tu
central plaza - 91 phạm văn hai tân bình - hồ chí minh	1:gach_noi_giua_cap
Lê Tấn Bê	4:duoi_32_ky_tu
Đường Cù Chính Lan - Hồng Bàng - Hải Phòng	1:gach_noi_giua_cap
lê lai, hải châu	4:duoi_32_ky_tu
đường liên phường phường phú hữu quận 9	2:trung_keyword[phường phường]
Hoàng Anh Gia Lai 2 - Phố Trần Xuân Soạn - Phường Tân Kiểng - Quận 7 - Hồ Chí Minh	1:gach_noi_giua_cap
vinhomes riverside hoa phường 8 phường phúc lợi long biên	2:trung_keyword[phường phường]
mỹ hạnh bắc đường 9 đức hòa	4:duoi_32_ky_tu
thanh xuân 18 - phường thạnh xuân quận 12	1:gach_noi_giua_cap
dong chieu, dĩ an, bình dương	4:duoi_32_ky_tu
vạn phúc riverside city	4:duoi_32_ky_tu
đường long thới - nhà bè ho c. hi minh	0:thieu_dau_sai_chinh_ta[bè ho] | 1:gach_noi_giua_cap
xã đắk sin, đắk nông	4:duoi_32_ky_tu
102 lã xuân oai - quận 9 hồ chí minh	1:gach_noi_giua_cap
100/ 21/ 10 đường đinh tiên hoàng bình thạnh - hồ chí minh	1:gach_noi_giua_cap
132 khâm thiên, hà nội	4:duoi_32_ky_tu
an thạnh bến lức	4:duoi_32_ky_tu
Nguyễn Kiều - Liên Chiểu - Đà Nẵng	1:gach_noi_giua_cap
đường 10 thủ dầu một bình dương	4:duoi_32_ky_tu
135 Tôn Đức Thắng, Đống Đa	4:duoi_32_ky_tu
Đường 12, Bình Chánh	4:duoi_32_ky_tu
đường thích quảng đức - liên chiểu	1:gach_noi_giua_cap
đường hoàng tăng bí bắc từ liêm	4:duoi_32_ky_tu
Đà Nẵng Hải An - Hải Phòng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
khương đình hạ đình	4:duoi_32_ky_tu
phường 13 trường sa phú nhuận	4:duoi_32_ky_tu
70/ 32 dinh bo linh - quận bình thạnh - thành phố hồ chí minh	1:gach_noi_giua_cap
Trần Văn Nam, Long An	4:duoi_32_ky_tu
158 nguyễn khánh toan, hà nội	4:duoi_32_ky_tu
80 phố an xá, ba đình hà nội	4:duoi_32_ky_tu
dx 059 thủ dầu một	4:duoi_32_ky_tu
đường 61 quận 2 hồ chí minh	4:duoi_32_ky_tu
11/ 172 đường nguyễn trãi - huế - thừa thiên huế	1:gach_noi_giua_cap
đường nguyễn thanh tuyền - hồ chí minh	1:gach_noi_giua_cap
dự án xuân mai tower - hà cầu - hà nội	1:gach_noi_giua_cap
phường 8 thành mỹ, tân bình	4:duoi_32_ky_tu
đường 17 thuận an bình dương	4:duoi_32_ky_tu
Xã Thống Nhất Thường Tín	4:duoi_32_ky_tu
số 11 - 2 định công thượng - hoàng mai	1:gach_noi_giua_cap
bạch mai	4:duoi_32_ky_tu
35 - cu lộc - phường thanh xuân trung	1:gach_noi_giua_cap
đường hương lộ 2 - phường bình hưng hòa bình tân hồ chí minh	1:gach_noi_giua_cap
Harbor City, Ho Hoc Lam, Phường 16 Quận 8, Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[hoc,ho hoc,hoc lam]
chung cu t&t reverside 440 vĩnh hưng hoàng mai - hà nội	0:thieu_dau_sai_chinh_ta[chung cu] | 1:gach_noi_giua_cap
11 khúc hạo, sơn trà đà nẵng	4:duoi_32_ky_tu
vien dong meridian	0:thieu_dau_sai_chinh_ta[vien] | 3:keyword_la_toan_so | 4:duoi_32_ky_tu
d12 - thủ dầu một - bình dương	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
An Dương Tây Hồ	4:duoi_32_ky_tu
30 chu huy man sơn trà	4:duoi_32_ky_tu
giang văn minh, quận 2	4:duoi_32_ky_tu
dự án rice home sông hồng - long biên - hà nội	1:gach_noi_giua_cap
07/ 74 lý tự trọng, tuy hòa	4:duoi_32_ky_tu
216 phan đăng lưu, hải châu	4:duoi_32_ky_tu
trung hành - hải an - hải phòng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Trường Chinh P. 13	4:duoi_32_ky_tu
53 - 55 võ thị sáu tp. biên hòa	4:duoi_32_ky_tu
đường 401 tân uyên, bình dương	4:duoi_32_ky_tu
kha văn can, thủ đức	4:duoi_32_ky_tu
khu biet thu mỹ quang, quận 7, hồ chí minh	0:thieu_dau_sai_chinh_ta[biet]
đường d5 phường 5 - trà vinh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
1186 - 1188 đường võ văn kiệt - quận 5 hồ chí minh	1:gach_noi_giua_cap
đường an định	4:duoi_32_ky_tu
16 lũy bán bích - tân phú	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
tôn đức thắng, sóc trăng	4:duoi_32_ky_tu
đường lê lộ sơn trà - đà nẵng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
44, khối 6, thành nhất	4:duoi_32_ky_tu
đoàn kết, phường	4:duoi_32_ky_tu
dự án n05 trần duy hưng - cầu giấy - hà nội	1:gach_noi_giua_cap
Đường Calmette, Quận 1Ho, Chí Minh	0:thieu_dau_sai_chinh_ta[quận ho,ho chí]
dự án khu đỗ thị mới dong tang long quận 9 - hồ chí minh	1:gach_noi_giua_cap
đường 6b - bình tân hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Nguyễn Bá Tòng - Phường 11 - Tân Bình - Hồ Chí Minh	1:gach_noi_giua_cap
tổ hieu - cầu giấy hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường d21, bình dương	4:duoi_32_ky_tu
triệu quang phục phường 10 - quận 5 hồ chí minh	1:gach_noi_giua_cap
Đường Bế Văn Đàn - Hà Đông	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
hà đông điện bàn - quảng nam	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường hùng thắng, hạ long	4:duoi_32_ky_tu
the bay view towers	3:keyword_la_toan_so | 4:duoi_32_ky_tu
pháo đài láng - đống đa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
mỹ lệ	4:duoi_32_ky_tu
299 Âu Cơ Tây Hồ	4:duoi_32_ky_tu
đường lê lai - an cư - cần thơ	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường ngô thì nhậm - hà đông - hà nội	1:gach_noi_giua_cap
Đường 786 - Tây Ninh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường bùi ngọc thu - phường hiệp an	1:gach_noi_giua_cap
chung cu k80 a - ngõ 376/ 14 đường bưởi - phường vĩnh phúc - ba đình	0:thieu_dau_sai_chinh_ta[chung cu] | 1:gach_noi_giua_cap
quốc lộ 23 mê linh - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
bình an bình dương	4:duoi_32_ky_tu
66 cách mạng tháng 8 phường hoa lư plei ku gia lai	0:thieu_dau_sai_chinh_ta[phường hoa]
đường phan chu trinh - tây ninh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
số 34 - p. tân quý - q. 7 - hồ chí minh	1:gach_noi_giua_cap
đường đinh thị vân thanh khê	4:duoi_32_ky_tu
đường phan liêm, quận 1	4:duoi_32_ky_tu
Đường Nguyễn Thị Nhỏ - Phường 9 - Quận 11 - Hồ Chí Minh	1:gach_noi_giua_cap
173 hoàng hoa thám - ba đình - hà nội	1:gach_noi_giua_cap
Phố Trạm tổ 12 Long Biên - Hà Nội	1:gach_noi_giua_cap
đường trinh dinh trong - tân phú	0:thieu_dau_sai_chinh_ta[trong tân] | 1:gach_noi_giua_cap
hùng vương cam ranh	4:duoi_32_ky_tu
Đường Cầu Xây - Phường Tân Phú Quận 9 Hồ Chí Minh	1:gach_noi_giua_cap
vp3 linh đàm	4:duoi_32_ky_tu
Đường Bình Kieu 1 Hải An	4:duoi_32_ky_tu
bù gia mập - bình phước	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường Triệu Quang Phục - Khánh Hòa	1:gach_noi_giua_cap
Kim Hoa, Kim Liên, Đống Đa	4:duoi_32_ky_tu
7 Đường Nguyễn Kha Trac, Cầu Giấy	0:thieu_dau_sai_chinh_ta[trac]
khiếu năng tĩnh - phường an lạc a - bình tân tp hồ chí minh	1:gach_noi_giua_cap
Lê Xuân Oai - Hồ Chí Minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án khu đỗ thị mới văn quán - hà đông - hà nội	1:gach_noi_giua_cap
Ngô Quyền Phường An Hải Tây - Sơn Trà	1:gach_noi_giua_cap
đường 1 - phường tân tạo a - bình tân - hồ chí minh	1:gach_noi_giua_cap
Đinh Liệt, Tam Kỳ	4:duoi_32_ky_tu
phường linh chiểu đường chương dương - thủ đức hồ chí minh	1:gach_noi_giua_cap
phường 12 - đường sơn hùng tân bình - hồ chí minh	1:gach_noi_giua_cap
đường hùng vương hồng bàng	4:duoi_32_ky_tu
nguyễn ngọc nhut hồ chí minh	0:thieu_dau_sai_chinh_ta[nhut] | 4:duoi_32_ky_tu
Lê Lợi - Bến Cát - Bình Dương	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
quốc lộ 22 quận Hóc Môn	4:duoi_32_ky_tu
thạnh mỹ lợi, quận 2	4:duoi_32_ky_tu
đường 14 - quận 10 - hồ chí minh	1:gach_noi_giua_cap
Đường Trần Bình Nam Từ Liêm	4:duoi_32_ky_tu
phường thịnh liệt	4:duoi_32_ky_tu
đường 3 ninh kiều cần thơ	4:duoi_32_ky_tu
đường nguyễn duy trinh quận 2 - hồ chí minh	1:gach_noi_giua_cap
đường đặng dung quận 1 - tp hồ chí minh	1:gach_noi_giua_cap
Ngõ 108	4:duoi_32_ky_tu
võ văn dung - đống đa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường 21 - Gò Vấp	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Đường 11 Bình Thuận - Quận 7	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường giáp hải, củ chi	4:duoi_32_ky_tu
dự án nam hưng vuong, phường an lạc, bình tân, hồ chí minh	0:thieu_dau_sai_chinh_ta[vuong,hưng vuong,vuong phường]
đường a6, nha trang	4:duoi_32_ky_tu
dân chủ tân thành tân phú	4:duoi_32_ky_tu
thanh oai, hà nội	4:duoi_32_ky_tu
đường đường ton hai ngũ hành sơn đà nẵng	2:trung_keyword[đường đường]
Đường Nguyễn Huệ - Bình Long Bình Phước	1:gach_noi_giua_cap
đường liễu ngoại	4:duoi_32_ky_tu
phan sào nam, hồ chí minh	4:duoi_32_ky_tu
nguyễn canh chan quận 1	4:duoi_32_ky_tu
Đường Quốc lộ 21B Phường Phú Lãm Hà Đông - Hà Nội	1:gach_noi_giua_cap
Cầu Gỗ, Hoàn Kiếm	4:duoi_32_ky_tu
lê lợi bến cát bình dương	4:duoi_32_ky_tu
dự án khu đỗ thị mới cuu vien - kiến an - hải phòng	0:thieu_dau_sai_chinh_ta[vien] | 1:gach_noi_giua_cap
số nhà 47 ngách 21 ngõ 80 Đường	4:duoi_32_ky_tu
80 hoàng đạo thành	4:duoi_32_ky_tu
sài sơn, hà nội	4:duoi_32_ky_tu
đường số 17 quận 7	4:duoi_32_ky_tu
phố ngọc đại, hà nội	4:duoi_32_ky_tu
Phố Doc Ngu Phường Vĩnh Phúc - Ba Đình	0:thieu_dau_sai_chinh_ta[doc] | 1:gach_noi_giua_cap
can ho florita đức khai	0:thieu_dau_sai_chinh_ta[can ho] | 4:duoi_32_ky_tu
tòa nha hipt	4:duoi_32_ky_tu
chung cư lafontana	4:duoi_32_ky_tu
tây nam - khánh hòa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường trần thái tong lâm đồng	4:duoi_32_ky_tu
87 - tây sơn quang trung - đống đa - hà nội	1:gach_noi_giua_cap
167 - nguyễn phong sắc - hưng dũng - tp vinh	1:gach_noi_giua_cap
đường khuc hao sơn trà đà nẵng	0:thieu_dau_sai_chinh_ta[khuc] | 4:duoi_32_ky_tu
bình hưng hoà b - quốc lộ 1a - bình tân	1:gach_noi_giua_cap
đường t5 - tân phú	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
vĩnh tân vành đai 4	4:duoi_32_ky_tu
200 Đường Nguyễn Văn Công	4:duoi_32_ky_tu
đường bưởi ba đình	4:duoi_32_ky_tu
Đường Tố Hữu, Hà Đông Hà Nội	4:duoi_32_ky_tu
đường hà huy tập - phường tân chính - thanh khê - đà nẵng	1:gach_noi_giua_cap
đường phố trạm - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án southern dragon - đường âu cơ - phường hòa thạnh - tân phú - hồ chí minh	1:gach_noi_giua_cap
228a phan văn hân bình thạnh	4:duoi_32_ky_tu
Đường Trương Định - Quận 1	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường đông tân - dĩ an - bình dương	1:gach_noi_giua_cap
Hoàng Vân Hợp Bình Tân - Tp Hồ Chí Minh	1:gach_noi_giua_cap
dự án the sun avenue - quận 12 hồ chí minh	1:gach_noi_giua_cap
đường nguyễn văn cừ - bà rịa	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dat biet thu Nam Quang -  mỹ hưng - Quận 7 - Hồ Chí Minh	0:thieu_dau_sai_chinh_ta[dat,biet] | 1:gach_noi_giua_cap
đường phương mai, đống đa	4:duoi_32_ky_tu
đường an tràng - xã an đồng - an dương - hải phòng	1:gach_noi_giua_cap
Võ Nguyên Giáp phước tân	4:duoi_32_ky_tu
đường đường thị giang	2:trung_keyword[đường đường] | 4:duoi_32_ky_tu
Đường Quốc lộ 21A Hòa Bình	4:duoi_32_ky_tu
phường 9 đường phan huy ich gò vấp	0:thieu_dau_sai_chinh_ta[ich]
Đàm Văn Lễ Cẩm Lệ	4:duoi_32_ky_tu
phường quảng vinh, thái nguyên	4:duoi_32_ky_tu
104/ 2N - Đường Tân Hiệp 16 Hóc Môn	1:gach_noi_giua_cap
dự án mỹ khang - đường nguyễn đức cảnh - hồ chí minh	1:gach_noi_giua_cap
đường 60 - quận 6 hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Dự án TMS Land Hùng Vương Phường Trưng Nhị - Phúc Yên - Vĩnh Phúc	1:gach_noi_giua_cap
